Label,G,lldg,w,L,Weights
157,2000,0.125,0.175,6438,11.76008
158,2000,0.15,0.125,5218,11.29774
159,2000,0.15,0.125,6194,13.53668
160,2000,0.15,0.1375,5358,13.78679
161,2000,0.15,0.1375,6403,16.00167
162,2000,0.15,0.15,5499,14.8525
163,2000,0.15,0.15,6611,17.01534
164,2000,0.15,0.1675,5695,13.94536
165,2000,0.15,0.1675,6903,16.00017
166,2000,0.15,0.175,4532,9.153988
167,2000,0.15,0.175,5780,12.7033
168,2000,0.15,0.175,7028,14.69511
169,2000,0.175,0.125,4558,10.55632
170,2000,0.175,0.125,5730,13.90355
171,2000,0.175,0.125,6901,15.8761
172,2000,0.175,0.1375,4653,12.98817
173,2000,0.175,0.1375,5867,16.31453
174,2000,0.175,0.1375,7081,18.16709
175,2000,0.175,0.15,4748,14.00475
176,2000,0.175,0.15,6004,17.30049
177,2000,0.175,0.15,7260,19.0187
178,2000,0.175,0.1675,4880,13.04717
179,2000,0.175,0.1675,6196,16.28717
180,2000,0.175,0.1675,7511,17.79481
181,2000,0.175,0.175,4937,11.78902
182,2000,0.175,0.175,6278,14.99736
183,2000,0.175,0.175,7619,16.40742
184,2000,0.2,0.125,4876,12.03781
185,2000,0.2,0.125,6242,15.37222
186,2000,0.2,0.125,7608,16.84067
187,2000,0.2,0.1375,4992,14.50284
188,2000,0.2,0.1375,6375,17.70656
189,2000,0.2,0.1375,7758,18.99759
190,2000,0.2,0.15,5109,15.55106
191,2000,0.2,0.15,6509,18.61846
192,2000,0.2,0.15,7908,19.72577
193,2000,0.2,0.1675,5273,14.63361
194,2000,0.2,0.1675,6696,17.50167
195,2000,0.2,0.1675,8119,18.34479
196,2000,0.2,0.175,5343,13.38768
197,2000,0.2,0.175,6776,16.16841
198,2000,0.2,0.175,8209,16.89566
199,2000,0.225,0.125,5193,12.54038
200,2000,0.225,0.125,6754,15.70374
201,2000,0.225,0.125,8315,16.43039
202,2000,0.225,0.1375,5332,15.03026
203,2000,0.225,0.1375,6884,17.96665
204,2000,0.225,0.1375,8436,18.49433
205,2000,0.225,0.15,5471,16.09458
206,2000,0.225,0.15,7014,18.8064
207,2000,0.225,0.15,8557,19.13738
208,2000,0.225,0.1675,5665,15.18826
209,2000,0.225,0.1675,7196,17.59117
210,2000,0.225,0.1675,8727,17.65011
211,2000,0.225,0.175,5748,13.94425
212,2000,0.225,0.175,7274,16.21646
213,2000,0.225,0.175,8799,16.1608
214,2000,0.25,0.125,5510,12.06745
215,2000,0.25,0.125,7266,14.89812
216,2000,0.25,0.125,9021,14.64628
217,2000,0.25,0.1375,5671,14.56475
218,2000,0.25,0.1375,7392,17.09204
219,2000,0.25,0.1375,9113,16.65749
220,2000,0.25,0.15,5832,15.62989
221,2000,0.25,0.15,7519,17.86432
222,2000,0.25,0.15,9206,17.25278
223,2000,0.25,0.1675,6057,14.71425
224,2000,0.25,0.1675,7696,16.55567
225,2000,0.25,0.1675,9335,15.71076
226,2000,0.25,0.175,4536,9.167852
227,2000,0.25,0.175,6154,13.46364
228,2000,0.25,0.175,7772,15.14151
229,2000,0.25,0.175,9390,14.20145
230,2250,0.1,0.125,5060,5.8582
231,2250,0.1,0.125,6139,8.448339
232,2250,0.1,0.1375,5208,8.391743
233,2250,0.1,0.1375,6383,10.98203
234,2250,0.1,0.15,5357,9.499775
235,2250,0.1,0.15,6627,12.04994
236,2250,0.1,0.1675,5564,8.647327
237,2250,0.1,0.1675,6968,11.08186
238,2250,0.1,0.175,5654,7.428142
239,2250,0.1,0.175,7115,9.788387
240,2250,0.125,0.125,5560,10.2657
241,2250,0.125,0.125,6802,12.5249
242,2250,0.125,0.1375,5705,12.71836
243,2250,0.125,0.1375,7016,14.86775
244,2250,0.125,0.15,5850,13.74375
245,2250,0.125,0.15,7231,15.75932
246,2250,0.125,0.1675,4574,8.808137
247,2250,0.125,0.1675,6053,12.78147
248,2250,0.125,0.1675,7532,14.56736
249,2250,0.125,0.175,4620,7.5303
250,2250,0.125,0.175,6140,11.5127
251,2250,0.125,0.175,7661,13.18504
252,2250,0.15,0.125,4658,9.845518
253,2250,0.15,0.125,6061,13.55014
254,2250,0.15,0.125,7464,15.28635
255,2250,0.15,0.1375,4755,12.27436
256,2250,0.15,0.1375,6202,15.92297
257,2250,0.15,0.1375,7650,17.47812
258,2250,0.15,0.15,4852,13.28755
259,2250,0.15,0.15,6344,16.87133
260,2250,0.15,0.15,7835,18.22889
261,2250,0.15,0.1675,4988,12.3283
262,2250,0.15,0.1675,6542,15.80149
263,2250,0.15,0.1675,8095,16.85986
264,2250,0.15,0.175,5047,11.0699
265,2250,0.15,0.175,6627,14.48744
266,2250,0.15,0.175,8207,15.40858
267,2250,0.175,0.125,4997,12.2335
268,2250,0.175,0.125,6562,15.70858
269,2250,0.175,0.125,8126,16.73456
270,2250,0.175,0.1375,5116,14.69315
271,2250,0.175,0.1375,6700,18.00688
272,2250,0.175,0.1375,8283,18.81183
273,2250,0.175,0.15,5235,15.73239
274,2250,0.175,0.15,6838,18.87988
275,2250,0.175,0.15,8440,19.4582
276,2250,0.175,0.1675,5402,14.80207
277,2250,0.175,0.1675,7031,17.70739
278,2250,0.175,0.1675,8659,17.95973
279,2250,0.175,0.175,5474,13.55216
280,2250,0.175,0.175,7114,16.35
281,2250,0.175,0.175,8753,16.459
282,2250,0.2,0.125,5336,13.63155
283,2250,0.2,0.125,7062,16.74008
284,2250,0.2,0.125,8788,16.86953
285,2250,0.2,0.1375,5477,16.10661
286,2250,0.2,0.1375,7197,18.96697
287,2250,0.2,0.1375,8916,18.86985
288,2250,0.2,0.15,5619,17.15792
289,2250,0.2,0.15,7331,19.76872
290,2250,0.2,0.15,9044,19.44753
291,2250,0.2,0.1675,5816,16.22945
292,2250,0.2,0.1675,7519,18.49869
293,2250,0.2,0.1675,9222,17.86773
294,2250,0.2,0.175,5901,14.9771
295,2250,0.2,0.175,7600,17.1
296,2250,0.2,0.175,9299,16.3363
297,2250,0.225,0.125,5675,14.03969
298,2250,0.225,0.125,7563,16.64702
299,2250,0.225,0.125,9451,15.6898
300,2250,0.225,0.1375,5838,16.51475
301,2250,0.225,0.1375,7694,18.80506
302,2250,0.225,0.1375,9549,17.65217
303,2250,0.225,0.15,6002,17.559
304,2250,0.225,0.15,7825,19.53969
305,2250,0.225,0.15,9648,18.19705
306,2250,0.225,0.1675,6230,16.61042
307,2250,0.225,0.1675,8008,18.17684
308,2250,0.225,0.1675,9786,16.58198
309,2250,0.225,0.175,4570,10.86005
310,2250,0.225,0.175,6328,15.34471
311,2250,0.225,0.175,8087,16.73872
312,2250,0.225,0.175,9845,15.04049
313,2250,0.25,0.125,6014,13.4579
314,2250,0.25,0.125,8063,15.42802
315,2250,0.25,0.125,10113,13.19762
316,2250,0.25,0.1375,6199,15.91757
317,2250,0.25,0.1375,8191,17.52113
318,2250,0.25,0.1375,10183,15.15663
319,2250,0.25,0.15,6385,16.93839
320,2250,0.25,0.15,8318,18.19194
321,2250,0.25,0.15,10252,15.70675
322,2250,0.25,0.1675,4792,11.71874
323,2250,0.25,0.1675,6644,15.94501
324,2250,0.25,0.1675,8497,16.74087
325,2250,0.25,0.1675,10349,14.10547
326,2250,0.25,0.175,4938,10.74208
327,2250,0.25,0.175,6756,14.65623
328,2250,0.25,0.175,8573,15.26584
329,2250,0.25,0.175,10391,12.57156
330,2500,0.1,0.125,5926,7.916762
331,2500,0.1,0.125,7498,9.941498
332,2500,0.1,0.1375,6075,10.32406
333,2500,0.1,0.1375,7719,12.13739
334,2500,0.1,0.15,4509,6.786459
335,2500,0.1,0.15,6225,11.30469
336,2500,0.1,0.15,7940,12.8782
337,2500,0.1,0.1675,4618,5.782913
338,2500,0.1,0.1675,6434,10.2757
339,2500,0.1,0.1675,8250,11.47062
340,2500,0.1,0.175,4664,4.503052
341,2500,0.1,0.175,6523,8.976735
342,2500,0.1,0.175,8382,9.994538
343,2500,0.125,0.125,4714,7.731102
344,2500,0.125,0.125,6415,11.87389
345,2500,0.125,0.125,8115,13.12339
346,2500,0.125,0.1375,4814,10.16408
347,2500,0.125,0.1375,6561,14.20401
348,2500,0.125,0.1375,8308,15.19194
349,2500,0.125,0.15,4914,11.1808
350,2500,0.125,0.15,6707,15.10658
351,2500,0.125,0.15,8500,15.8175
352,2500,0.125,0.1675,5053,10.22197
353,2500,0.125,0.1675,6911,13.97141
354,2500,0.125,0.1675,8769,14.26869
355,2500,0.125,0.175,5113,8.962616
356,2500,0.125,0.175,6999,12.629
357,2500,0.125,0.175,8884,12.73927
358,2500,0.15,0.125,5075,11.03969
359,2500,0.15,0.125,6904,14.71689
360,2500,0.15,0.125,8733,15.04886
361,2500,0.15,0.1375,5197,13.49847
362,2500,0.15,0.1375,7047,16.97277
363,2500,0.15,0.1375,8896,17.02547
364,2500,0.15,0.15,5318,14.53344
365,2500,0.15,0.15,7189,17.80114
366,2500,0.15,0.15,9060,17.5682
367,2500,0.15,0.1675,5489,13.59931
368,2500,0.15,0.1675,7388,16.5646
369,2500,0.15,0.1675,9288,15.9224
370,2500,0.15,0.175,5562,12.34558
371,2500,0.15,0.175,7474,15.17916
372,2500,0.15,0.175,9386,14.357
373,2500,0.175,0.125,5435,13.34039
374,2500,0.175,0.125,7393,16.44578
375,2500,0.175,0.125,9351,15.7174
376,2500,0.175,0.1375,5579,15.80875
377,2500,0.175,0.1375,7532,18.62986
378,2500,0.175,0.1375,9485,17.63676
379,2500,0.175,0.15,5723,16.85014
380,2500,0.175,0.15,7671,19.38838
381,2500,0.175,0.15,9619,18.13192
382,2500,0.175,0.1675,5925,15.91156
383,2500,0.175,0.1675,7866,18.0554
384,2500,0.175,0.1675,9807,16.43175
385,2500,0.175,0.175,6011,14.65194
386,2500,0.175,0.175,7949,16.6287
387,2500,0.175,0.175,9887,14.84962
388,2500,0.2,0.125,5796,14.63869
389,2500,0.2,0.125,7883,17.06066
390,2500,0.2,0.125,9969,15.12902
391,2500,0.2,0.1375,5962,17.10015
392,2500,0.2,0.1375,8018,19.17671
393,2500,0.2,0.1375,10074,17.02614
394,2500,0.2,0.15,6128,18.12781
395,2500,0.2,0.15,8154,19.86814
396,2500,0.2,0.15,10179,17.50598
397,2500,0.2,0.1675,6360,17.15707
398,2500,0.2,0.1675,8343,18.44305
399,2500,0.2,0.1675,10326,15.79674
400,2500,0.2,0.175,6460,15.8817
401,2500,0.2,0.175,8424,16.97761
402,2500,0.2,0.175,10389,14.21384
403,2500,0.225,0.125,6157,14.93168
404,2500,0.225,0.125,8372,16.56081
405,2500,0.225,0.125,10587,13.28372
406,2500,0.225,0.1375,6345,17.36986
407,2500,0.225,0.1375,8504,18.61237
408,2500,0.225,0.1375,10663,15.19359
409,2500,0.225,0.15,6533,18.36646
410,2500,0.225,0.15,8636,19.24025
411,2500,0.225,0.15,10739,15.69144
412,2500,0.225,0.1675,4771,12.85115
413,2500,0.225,0.1675,6796,17.33957
414,2500,0.225,0.1675,8821,17.72735
415,2500,0.225,0.1675,10845,14.01736
416,2500,0.225,0.175,4918,11.88064
417,2500,0.225,0.175,6909,16.03486
418,2500,0.225,0.175,8900,16.225
419,2500,0.225,0.175,10891,12.45106
420,2500,0.25,0.125,6517,14.21786
421,2500,0.25,0.125,8861,14.94684
422,2500,0.25,0.125,11205,10.18149
423,2500,0.25,0.1375,6727,16.61661
424,2500,0.25,0.1375,8989,16.93781
425,2500,0.25,0.1375,11252,12.13912
426,2500,0.25,0.15,4757,12.87148
427,2500,0.25,0.15,6937,17.56502
428,2500,0.25,0.15,9118,17.50504
429,2500,0.25,0.15,11299,12.6883
430,2500,0.25,0.1675,5165,12.73326
431,2500,0.25,0.1675,7232,16.45696
432,2500,0.25,0.1675,9298,15.90947
433,2500,0.25,0.1675,11364,11.09363
434,2500,0.25,0.175,5340,11.7797
435,2500,0.25,0.175,7358,15.11142
436,2500,0.25,0.175,9375,14.37219
437,2500,0.25,0.175,11392,9.564668
438,2700,0.1,0.125,4653,4.106295
439,2700,0.1,0.125,6618,8.752538
440,2700,0.1,0.125,8584,9.536972
441,2700,0.1,0.1375,4750,6.535625
442,2700,0.1,0.1375,6769,11.05919
443,2700,0.1,0.1375,8787,11.50719
444,2700,0.1,0.15,4847,7.549295
445,2700,0.1,0.15,6919,11.93572
446,2700,0.1,0.15,8990,12.02995
447,2700,0.1,0.1675,4983,6.59073
448,2700,0.1,0.1675,7129,10.76255
449,2700,0.1,0.1675,9275,10.32906
450,2700,0.1,0.175,5042,5.332618
451,2700,0.1,0.175,7219,9.40252
452,2700,0.1,0.175,9397,8.731695
453,2700,0.125,0.125,5030,8.35955
454,2700,0.125,0.125,7098,12.3632
455,2700,0.125,0.125,9166,12.09022
456,2700,0.125,0.1375,5150,10.81813
457,2700,0.125,0.1375,7245,14.59436
458,2700,0.125,0.1375,9341,13.98023
459,2700,0.125,0.15,5269,11.85332
460,2700,0.125,0.15,7392,15.39767
461,2700,0.125,0.15,9515,14.43489
462,2700,0.125,0.1675,5436,10.91733
463,2700,0.125,0.1675,7597,14.12317
464,2700,0.125,0.1675,9758,12.65909
465,2700,0.125,0.175,5508,9.664968
466,2700,0.125,0.175,7685,12.72039
467,2700,0.125,0.175,9863,11.03462
468,2700,0.15,0.125,5408,11.59827
469,2700,0.15,0.125,7579,14.86888
470,2700,0.15,0.125,9749,13.428
471,2700,0.15,0.1375,5550,14.06563
472,2700,0.15,0.1375,7722,17.02823
473,2700,0.15,0.1375,9894,15.27326
474,2700,0.15,0.15,5691,15.10426
475,2700,0.15,0.15,7865,17.76089
476,2700,0.15,0.15,10039,15.69124
477,2700,0.15,0.1675,5889,14.16371
478,2700,0.15,0.1675,8066,16.3897
479,2700,0.15,0.1675,10242,13.87859
480,2700,0.15,0.175,5974,12.90516
481,2700,0.15,0.175,8152,14.94595
482,2700,0.15,0.175,10329,12.24538
483,2700,0.175,0.125,5786,13.8191
484,2700,0.175,0.125,8059,16.26826
485,2700,0.175,0.125,10331,13.55322
486,2700,0.175,0.1375,5950,16.27813
487,2700,0.175,0.1375,8198,18.35977
488,2700,0.175,0.1375,10447,15.38547
489,2700,0.175,0.15,6113,17.30212
490,2700,0.175,0.15,8338,19.02538
491,2700,0.175,0.15,10563,15.79802
492,2700,0.175,0.1675,6342,16.32989
493,2700,0.175,0.1675,8534,17.5618
494,2700,0.175,0.1675,10725,13.99156
495,2700,0.175,0.175,6440,15.0532
496,2700,0.175,0.175,8618,16.07904
497,2700,0.175,0.175,10795,12.36399
498,2700,0.2,0.125,6164,15.02205
499,2700,0.2,0.125,8539,16.56224
500,2700,0.2,0.125,10914,12.4618
501,2700,0.2,0.1375,6350,17.45563
502,2700,0.2,0.1375,8675,18.58906
503,2700,0.2,0.1375,11000,14.31688
504,2700,0.2,0.15,6535,18.44689
505,2700,0.2,0.15,8811,19.19114
506,2700,0.2,0.15,11087,14.75522
507,2700,0.2,0.1675,4588,12.321
508,2700,0.2,0.1675,6795,17.41586
509,2700,0.2,0.1675,9002,17.63987
510,2700,0.2,0.1675,11209,12.99303
511,2700,0.2,0.175,4729,11.35778
512,2700,0.2,0.175,6907,16.11018
513,2700,0.2,0.175,9084,16.11997
514,2700,0.2,0.175,11261,11.39044
515,2700,0.225,0.125,6542,15.20712
516,2700,0.225,0.125,9019,15.75082
517,2700,0.225,0.125,11496,10.15899
518,2700,0.225,0.1375,6750,17.59813
519,2700,0.225,0.1375,9152,17.71582
520,2700,0.225,0.1375,11554,12.06392
521,2700,0.225,0.15,4630,13.40405
522,2700,0.225,0.15,6957,18.53858
523,2700,0.225,0.15,9285,18.25689
524,2700,0.225,0.15,11612,12.55923
525,2700,0.225,0.1675,5026,13.28204
526,2700,0.225,0.1675,7248,17.42162
527,2700,0.225,0.1675,9470,16.62392
528,2700,0.225,0.1675,11693,10.88525
529,2700,0.225,0.175,5196,12.33879
530,2700,0.225,0.175,7373,16.07344
531,2700,0.225,0.175,9550,15.06875
532,2700,0.225,0.175,11727,9.324735
533,2700,0.25,0.125,6920,14.3743
534,2700,0.25,0.125,9499,13.834
535,2700,0.25,0.1375,4671,11.52575
536,2700,0.25,0.1375,7150,16.70563
537,2700,0.25,0.1375,9628,15.74168
538,2700,0.25,0.15,5001,13.273
539,2700,0.25,0.15,7379,17.57718
540,2700,0.25,0.15,9758,16.22472
541,2700,0.25,0.1675,5464,13.17623
542,2700,0.25,0.1675,7701,16.34717
543,2700,0.25,0.1675,9939,14.51201
544,2700,0.25,0.175,5662,12.22438
545,2700,0.25,0.175,7839,14.94454
546,2700,0.25,0.175,10016,12.92537
